"months","means_Chinatown","medians_Chinatown","counts_Chinatown","max_wait_time_Chinatown","min_wait_time_Chinatown","means_USF","medians_USF","counts_USF","max_wait_time_USF","min_wait_time_USF","means_Nob_Hill","medians_Nob_Hill","counts_Nob_Hill","max_wait_time_Nob_Hill","min_wait_time_Nob_Hill","means_North_Beach","medians_North_Beach","counts_North_Beach","max_wait_time_North_Beach","min_wait_time_North_Beach","means_Russian_Hill","medians_Russian_Hill","counts_Russian_Hill","max_wait_time_Russian_Hill","min_wait_time_Russian_Hill","means_Tenderloin","medians_Tenderloin","counts_Tenderloin","max_wait_time_Tenderloin","min_wait_time_Tenderloin"
"January","8.78680203045685","6","197","46.0166666666667","1.5","8.46341463414634","7","123","45.8666666666667","2.48333333333333","8.621387283237","6","346","109.716666666667","0.683333333333333","10.3025641025641","7","195","48.0666666666667","2.6","9.0327868852459","7","122","38.6333333333333","1.85","9.4943596549436","7","1507","56.6166666666667","0.883333333333333"
"February","8.58128078817734","6","203","51.0333333333333","2.1","9.23076923076923","7","130","38.55","1.3","9.38775510204082","7","294","87.1166666666667","0.516666666666667","9.01492537313433","7","201","36.4666666666667","2.66666666666667","8.048","7","125","31.1333333333333","2.55","9.42413793103448","7","1450","101.916666666667","0.7"
"March","9.41346153846154","7","208","141.733333333333","1.43333333333333","9.05128205128205","7","156","45.75","2.53333333333333","8.70263788968825","6","417","47.1333333333333","1.15","9.0219298245614","7","228","47.2666666666667","1.9","9.49180327868852","7","122","38.4666666666667","2.96666666666667","9.45706371191136","7","1444","110.35","0.616666666666667"
"April","8.58426966292135","6","178","35.9666666666667","2.05","10","8","112","80.3333333333333","2.83333333333333","8.59530791788856","7","341","82.0166666666667","1.88333333333333","9.32978723404255","7","188","39.7333333333333","2.36666666666667","9.31788079470199","7","151","50.7166666666667","3.25","8.88414192614048","7","1381","58.6","0.5"
"May","9.17816091954023","7.5","174","40.3166666666667","1.63333333333333","9.8134328358209","7","134","87.0666666666667","2.7","8.44481605351171","6","299","47.35","1.41666666666667","9.64114832535885","7","209","40.7833333333333","1.98333333333333","9.33093525179856","8","139","41.8666666666667","2.65","9.55952380952381","7","1428","104.8","0.916666666666667"
"June","8.965","7","200","37.6","0.7","9.25225225225225","7","111","42.35","3.25","8.64619883040936","7","342","50.3166666666667","1.83333333333333","9.41743119266055","8","218","54.85","0.683333333333333","8.70588235294118","7.5","102","28.45","2.46666666666667","9.29018492176387","7","1406","53.0666666666667","0.466666666666667"
"July","8.03529411764706","6","170","28.7","1.13333333333333","8.27731092436975","7","119","28.4666666666667","2.21666666666667","8.45070422535211","7","284","78.5666666666667","2.13333333333333","9.80904522613065","8","199","42.2666666666667","1.98333333333333","8.18831168831169","7","154","27.7666666666667","2.13333333333333","9.29375848032564","7","1474","70.9666666666667","0.783333333333333"
"August","8.52662721893491","6","169","32.6166666666667","2","8.90566037735849","7","106","84.9333333333333","3.23333333333333","8.49128919860627","6","287","42.8333333333333","1.01666666666667","10.0092165898618","8","217","60.7833333333333","1.6","8.74358974358974","7","117","48.0833333333333","2.36666666666667","9.30839297332466","7","1537","58.7166666666667","1.01666666666667"
"September","8.56398104265403","6","211","39.1333333333333","1.68333333333333","8.78761061946903","7","113","34.7833333333333","1.7","8.9290780141844","7","282","60.1666666666667","2.3","9.83157894736842","7.5","190","45.4333333333333","0.433333333333333","9.03424657534247","7","146","46.9","2.8","9.25832127351664","7","1382","71.95","0.8"
"October","10.0926829268293","7","205","91.0333333333333","1.95","8.856","7","125","36.5","2.43333333333333","8.28327645051194","6","293","50","2.11666666666667","10.28","7","225","71.6666666666667","2.25","10.7339449541284","8","109","41.5833333333333","1.68333333333333","9.37610921501707","7","1465","47.8","1.38333333333333"
"November","9","7","211","31.2833333333333","1.88333333333333","8.57037037037037","7","135","33.9333333333333","2.4","8.09965635738832","6","291","43.0333333333333","1.7","9.25837320574163","7","209","38.25","0.3","8.81818181818182","7","132","56.1166666666667","2.08333333333333","9.17847411444142","7","1468","80.15","0.15"
"December","10.2367149758454","8","207","56.35","1.1","8.53543307086614","7","127","25.4333333333333","2.7","8.2","6","210","37.0166666666667","2.46666666666667","10.0833333333333","7.5","192","47.0666666666667","2.43333333333333","8.91044776119403","7","134","51.35","2.55","9.23387096774194","7","1612","104.333333333333","1.43333333333333"
